Custom Measurements: Custom Pattern Measurements V3.txt
	[84] Abdomen Circ [Tape]	[84h] Abdomen Circ Height	[33] Abdomen Rise	[88] X Bk Pit-to-Pit [Tape]	[178] Across Chest Arm to Arm Length	[172] Actual Ankle Circ L	[173] Actual Ankle Circ R	[174] Actual Knee Circ L	[175] Actual Knee Circ R	[176] Actual Mid Thigh Circ L	[177] Actual Mid Thigh Circ R	[91] Ankle Circ L	[92] Ankle Circ R	[14] Armhole Circ L [Vert]	[15] Armhole Circ R [Vert]	[16] Arm Length L	[17] Arm Length R	[18] Arm Under Length L	[19] Arm Under Length R	[133] Axilla Chest Circ [Tape]	[97] CB Neck to CB Chest [Tape]	[100] CB Neck to Shldr Blades [Tape]	[2] Bk Shoulder Width Horz	[162] Bk Vert Rise	[89] Bicep Circ L	[90] Bicep Circ R	[74] Bust Circ with Drop [Tape]	[11] Bust Width 1	[54] Calf Circ L	[55] Calf Circ R	[102] CFNck-Crotch-CBNck	[72] Chest/Bust Circ [Tape]	[128] Chin Height	[0] Collar/Mid Neck Circ	[36] Crotch Height	[37] Crotch Length Full	[122] Elbow Circ L [Tape]	[123] Elbow Circ R [Tape]	[122h] Elbow Circ L [Tape] Height	[123h] Elbow Circ R [Tape] Height	[81] Elbow Height Waist Circ [Tape]	[115] Forearm Circ L	[116] Forearm Circ R	[38]  Fr Vertical Rise	[95] CB Length [CB Nk - Waist] [Tape]	[149] High Hip Circ [Tape]	[150] High Hip to SoB Waist Length	[145] Hinged Upper Bust Circ	[85] Hip Circ [Tape]	[153] Hips 8 inches Down from SOB OPT Waist	[154] Hips 2 inches Above the Crotch	[40] Inseam Length L	[41] Inseam Length R	[48] Knee Circ L	[49] Knee Circ R	[151] Low Hip Circ	[152] Low Hip to SoB Length	[46] Mid Thigh Circ L	[47] Mid Thigh Circ R	[56] Min Low Leg Circ L	[57] Min Low Leg Circ R	[56h] Min Low Leg Circ L Height	[57h] Min Low Leg Circ R	[1] Neck Base Circ	[105] Opt SoB Waist  [Tape]	[105h] Opt SoB Waist [Tape] CB Height	[170] Armhole Circ Outer L [Pitch]	[171] Armhole Circ Outer R [Pitch]	[42] Outside Leg Length L	[43] Outside Leg Length R	[73] Over Arm Circ [Tape]	[86] Seat Circ [Tape]	[39] Seat Fold Height	[168] Shoulder Circ	[168h] Shoulder Circ Height	[3] Shoulder Length L	[4] Shoulder Length R	[12] SideNeck to Bust L [Tape]	[13] SideNeck to Bust R [Tape]	[20] Sleeve Length L	[21] Sleeve Length R	[83] Stomach Girth [Tape]	[99] Subject Height	[44] Thigh Circ L [2in down]	[45] Thigh Circ R [2in down]	[44h] Thigh Circ L [2in down] Height	[45h] Thigh Circ R [2in down] Height	[75] Underbust Circ [Tape]	[50] Under Knee Circ L	[51] Under Knee Circ R	[50h] Under Knee Circ L Height	[51h] Under Knee Circ R Height	[163] Upper Bust X Fr	[76] Low Waist Circ Pitched [Tape]	[76h] Low Waist Circ Pitched [Tape] Height	[93] Wrist Circ L	[94] Wrist Circ R	[234] Up Arm Circ L	[235] Up Arm Circ R	[179] Fr Crotch Length	[180] Bk Crotch Length	[001] Chest/Bust Circum Tape Measure	[002] Opt Small of back Waist Tape Measure	[003] Hip Circum Tape Measure	[004] Half Back Centre Tape Measure	[005] Neck Circumference	[006] Scye Depth (Vertical)	[007] Side Neck to Bust Length Right	[008] Side Neck to Bust to Waist R	[009] Across Back Tape Measurement	[010] Across Chest Arm to Arm Length	[011] Shoulder Length Right	[012] Bust Width	[013] Upper Hip SOB -10cm	[014] Waist to Knee Length	[015] Waist to Hip Length	[016] Skirt Length	[017] Thigh Circ R	[018] Knee Circ R	[019] Ankle Circ R	[020] Waist to Crotch Length (Body Rise)	[021] Waist to Ankle (Outside Leg)	[022] Crotch to Ankle (Inside Leg)	[023] Sleeve Lenght R	[024] Bicep Circ	[025] Shoulder to Elbow	[026] Fr Waist Arc	[027] Bk Waist Arc	[028] Fr Abdomen Arc	[029] Bk Abdomen Arc	[030] Bk Seat Arc	[031] Fr Hip Arc	[032] Bk Hip Arc	[033] Waist to Abdomen	[034] Waist to Seat	[035] Depth of Sleevehead 1	[036] Depth of Sleevehead 2	[037] R Sideseam Uplift	
A317FR24a November 4 2015 01_40.obj	85.32	92.53	15.30	32.00	30.60	25.05	24.80	36.64	36.98	45.84	44.80	25.15	24.80	43.00	42.13	53.32	53.55	41.38	42.57	92.01	21.24	18.98	39.56	25.34	26.78	25.73	87.11	11.84	37.60	36.62	135.23	91.80	142.57	32.62	77.22	69.36	23.43	23.28	103.95	104.86	72.44	22.87	23.21	25.34	40.09	87.29	11.44	88.75	91.55	90.44	90.43	77.42	77.39	36.43	37.11	91.54	23.00	46.03	45.11	24.13	23.96	11.78	11.61	37.60	73.81	102.56	40.04	40.68	103.32	103.15	103.74	90.12	78.00	94.28	129.92	11.52	10.58	22.63	23.19	70.96	70.70	80.03	169.30	55.05	55.00	72.14	72.14	79.45	35.11	33.92	40.52	40.37	37.75	81.07	102.56	15.98	15.83	29.16	30.14	33.73	35.63	91.80	73.81	91.55	40.09	37.60	20.06	23.19	41.84	32.00	30.60	10.58	16.90	85.62	57.30	22.89	64.10	55.00	37.11	24.80	25.34	93.16	67.82	53.55	25.73	31.45	41.67	39.34	41.85	43.33	47.60	43.89	47.60	10.03	18.47	13.86	12.29	0.59	
A318FL22a November 4 2015 01_49.obj	79.86	84.40	14.82	29.07	31.07	23.11	22.69	36.16	36.24	43.39	43.18	22.98	22.69	37.21	39.38	50.42	51.60	40.35	40.56	84.36	18.69	17.99	39.76	23.49	25.26	23.79	79.30	13.80	35.45	35.63	132.03	80.62	135.17	36.84	69.58	61.20	23.02	23.33	101.06	97.98	66.46	22.72	22.91	23.49	37.01	84.04	11.49	85.15	90.39	89.37	88.49	70.28	70.26	35.15	34.89	90.39	23.00	42.93	42.54	21.99	22.12	11.09	11.12	40.40	70.09	93.07	35.85	38.57	93.58	93.46	101.24	85.89	79.42	98.06	121.83	13.21	10.45	24.52	23.59	66.83	69.00	76.33	157.99	51.80	51.85	64.50	64.50	71.91	34.12	33.72	37.46	37.34	37.86	78.01	93.07	14.09	15.07	27.80	25.38	30.46	30.74	80.62	70.09	90.39	37.01	40.40	14.69	23.59	42.83	29.07	31.07	10.45	16.10	82.34	52.12	22.99	58.92	51.85	34.89	22.69	23.49	84.30	60.81	51.60	23.79	30.55	37.33	40.62	39.09	40.63	44.44	41.72	48.61	8.67	13.52	15.88	11.94	0.39	
A321FR23e November 4 2015 02_17.obj	86.48	91.51	17.47	26.83	33.39	26.05	25.68	39.91	39.67	46.85	46.76	26.11	25.68	40.21	41.08	52.76	51.63	41.74	40.63	93.46	22.47	18.66	38.32	27.30	28.91	25.61	90.01	13.41	37.92	37.87	138.06	92.74	141.74	38.13	74.04	72.92	24.40	24.06	106.33	104.74	75.81	24.37	23.97	27.30	38.37	88.83	11.93	89.97	94.20	93.03	93.96	74.27	74.29	39.73	39.72	94.20	23.50	47.09	47.05	24.99	24.74	11.80	11.44	42.49	75.26	101.34	38.34	38.93	102.41	101.97	107.75	92.99	75.31	97.56	127.92	11.80	9.92	27.13	26.59	68.34	69.32	83.62	164.45	53.12	54.32	68.96	68.96	81.07	37.12	36.65	37.95	38.48	40.08	85.15	101.34	16.49	15.86	28.42	27.62	35.44	37.48	92.74	75.26	94.20	38.37	42.49	18.41	26.59	43.26	26.83	33.39	9.92	19.00	86.99	57.88	23.86	64.68	54.32	39.72	25.68	27.30	92.21	64.90	51.63	25.61	30.36	41.94	43.14	42.38	43.96	47.61	44.33	49.82	9.83	20.27	16.60	12.48	0.62	
A322FL20b November 4 2015 02_30.obj	92.49	87.80	13.73	27.46	31.70	26.16	26.46	39.66	39.96	50.40	50.16	26.24	26.46	42.39	43.86	54.49	55.63	41.83	41.63	93.98	24.90	18.61	41.87	26.59	29.71	28.65	89.51	12.92	40.68	41.38	143.99	91.39	138.01	32.84	74.07	75.56	25.18	23.09	99.88	100.13	74.35	24.73	23.12	26.59	36.63	93.09	13.04	92.50	97.04	95.56	95.73	74.53	74.91	40.16	41.28	97.09	26.50	50.72	50.97	25.45	26.55	11.37	11.17	36.40	74.24	100.66	42.06	44.51	102.17	101.73	109.06	96.44	74.23	101.33	123.00	12.09	10.86	24.44	23.93	71.52	72.01	84.41	160.85	56.86	57.11	68.99	68.99	77.70	37.47	38.44	38.25	38.41	39.69	87.73	100.66	15.94	15.78	32.71	30.47	36.00	39.56	91.39	74.24	97.04	36.63	36.40	20.71	23.93	35.47	27.46	31.70	10.86	16.70	89.01	57.29	26.09	64.09	57.11	41.28	26.46	26.59	91.72	65.13	55.63	28.65	31.26	44.51	43.14	44.96	47.41	50.78	45.57	51.41	12.86	23.65	17.81	13.60	1.07	
A324FR21a November 4 2015 02_47.obj	81.33	96.68	17.47	23.85	29.80	24.08	24.03	34.44	33.67	40.54	42.50	24.01	24.03	44.83	35.12	56.89	57.41	45.50	46.37	84.13	21.99	18.71	36.02	27.87	23.35	21.81	76.71	11.65	33.59	33.64	132.98	82.46	142.49	30.35	79.21	71.20	22.43	21.38	104.19	104.50	69.19	21.86	21.22	27.87	34.70	85.63	13.27	81.16	89.78	88.57	89.26	79.71	80.10	34.35	33.13	89.78	26.50	40.95	41.90	22.67	22.76	11.89	11.68	34.91	67.83	107.08	43.93	36.20	108.53	108.06	103.30	89.01	72.40	93.58	130.06	11.37	11.18	25.62	25.55	72.04	72.17	75.86	166.25	47.66	49.88	74.13	74.13	72.12	31.39	30.50	40.60	40.40	42.22	77.34	107.08	15.06	14.38	26.63	26.14	34.82	36.38	82.46	67.83	89.78	34.70	34.91	16.59	25.55	40.19	23.85	29.80	11.18	19.40	81.08	60.87	26.54	67.67	49.88	33.13	24.03	27.87	97.85	69.98	57.41	21.81	33.40	38.57	38.71	37.39	43.79	49.06	41.48	48.24	10.40	21.94	17.20	11.52	0.98	
A332FR20a November 4 2015 03_53.obj	96.43	89.36	17.99	32.23	33.38	26.32	26.87	38.35	38.57	44.80	45.16	26.26	26.87	41.56	40.14	54.00	53.37	42.00	41.52	97.59	23.09	18.60	37.59	28.68	27.82	26.11	96.19	13.85	37.93	38.62	144.60	98.56	139.80	31.59	71.37	75.95	24.47	23.88	101.96	103.13	80.90	23.35	23.24	28.41	38.42	98.47	12.29	93.43	107.36	105.05	107.13	72.26	72.04	37.41	37.50	107.35	24.51	43.56	44.27	24.47	25.35	10.02	10.02	34.90	83.63	100.06	40.21	39.92	101.12	100.93	112.72	105.43	76.30	103.11	125.36	11.94	10.98	28.45	27.94	71.07	70.38	90.10	164.89	55.18	56.70	66.29	66.29	81.00	36.59	36.57	37.99	37.79	44.15	90.92	99.98	16.15	15.67	30.10	29.87	36.31	39.64	98.56	83.63	107.36	38.42	34.90	19.18	27.94	42.90	32.23	33.38	10.98	21.00	96.36	58.96	24.68	65.76	56.70	37.50	26.87	28.68	92.73	64.05	53.37	26.11	29.76	46.45	44.42	47.44	48.84	54.59	50.13	57.18	10.70	20.81	16.55	12.27	0.95	
A333FR21a November 4 2015 03_58.obj	78.01	89.26	16.01	30.64	28.90	24.48	24.52	35.40	35.63	42.90	42.55	24.49	24.52	36.25	35.84	54.09	51.77	41.89	42.13	85.20	19.78	18.06	35.22	23.75	23.50	23.60	80.90	13.38	34.81	35.52	138.25	82.72	140.58	30.18	73.25	62.76	22.50	21.91	104.98	103.13	62.69	22.82	22.55	23.75	41.99	83.98	11.43	82.01	91.16	90.04	89.10	73.77	73.94	35.01	35.17	91.15	23.00	42.79	42.49	23.83	24.32	11.61	11.41	34.64	65.56	97.00	36.25	35.88	97.67	97.80	100.75	87.41	73.53	93.96	127.49	11.13	9.03	23.48	21.94	68.23	69.37	72.68	166.56	49.01	49.09	68.17	68.17	74.10	32.37	32.52	38.72	38.41	38.94	75.23	97.00	15.81	15.51	26.46	26.12	30.90	31.86	82.72	65.56	91.16	41.99	34.64	17.86	21.94	44.26	30.64	28.90	9.03	15.00	82.41	53.88	22.87	60.68	49.09	35.17	24.52	23.75	87.74	64.00	51.77	23.60	30.25	36.45	38.70	38.37	39.51	45.70	41.15	49.95	7.74	16.13	12.86	10.91	0.81	
A334FR21 November 4 2015 04_02.obj	80.10	92.73	19.01	24.70	27.60	27.43	26.18	38.84	37.78	44.61	45.39	25.73	26.18	45.19	44.70	52.09	52.20	37.50	34.94	81.45	21.64	19.08	34.80	28.77	26.97	28.09	80.85	13.32	35.06	35.54	156.70	83.53	144.46	34.07	73.72	73.05	23.50	26.23	110.75	110.77	69.38	23.50	24.96	28.77	41.07	85.74	12.58	79.31	92.10	90.70	92.03	73.83	73.91	37.47	36.91	92.09	25.00	44.26	45.13	25.09	25.77	12.08	11.92	53.12	66.25	102.48	96.49	42.19	103.45	103.27	100.95	90.98	74.86	93.41	131.43	8.68	8.32	23.30	22.16	66.64	65.73	74.32	167.80	50.97	52.45	68.64	68.64	72.23	34.68	34.40	39.80	39.04	49.33	76.39	102.48	16.23	15.96	28.23	28.69	36.00	37.06	83.53	66.25	92.10	41.07	53.12	19.13	22.16	41.21	24.70	27.60	8.32	18.20	81.02	59.09	25.16	65.89	52.45	36.91	26.18	28.77	93.16	64.39	52.20	28.09	28.35	38.90	37.43	37.56	42.39	48.24	42.52	49.51	9.76	20.82	15.64	13.09	0.79	
A339FA22 November 13 2015 10_55.obj	91.43	88.56	16.58	25.33	30.48	24.67	25.37	38.96	38.56	45.10	45.34	24.64	25.37	43.90	43.40	49.17	50.65	39.19	39.68	88.32	19.01	18.42	40.92	28.99	28.58	27.77	84.35	12.98	35.53	35.67	135.80	86.93	139.92	46.19	71.98	76.71	25.98	24.58	106.68	104.16	72.54	24.61	24.21	28.99	35.13	92.05	12.67	85.47	98.50	96.21	98.14	72.81	72.47	38.51	38.04	98.49	25.50	44.98	45.16	23.69	24.60	13.82	11.32	43.83	73.41	100.97	39.20	40.62	102.18	101.67	108.33	96.60	73.13	96.98	127.27	12.59	11.20	23.60	23.98	65.19	69.17	83.47	161.33	54.90	56.05	66.90	66.90	77.58	35.49	35.21	35.05	35.11	37.68	86.03	100.97	16.90	16.32	30.70	31.12	36.74	39.98	86.93	73.41	98.50	35.13	43.83	16.01	23.98	39.75	25.33	30.48	11.20	17.90	89.50	58.67	25.35	65.47	56.05	38.04	25.37	28.99	92.01	63.02	50.65	27.77	29.65	45.36	40.61	45.60	45.69	50.78	44.33	54.13	12.41	21.97	16.00	12.43	0.70	
A344FA21 November 13 2015 12_08.obj	102.69	97.47	17.50	31.43	34.90	28.20	28.27	41.06	41.39	51.93	52.39	28.37	28.27	48.95	49.63	58.93	58.55	44.07	44.77	100.43	28.78	19.11	43.05	30.25	31.96	32.77	96.32	14.78	39.72	39.75	147.25	100.36	149.44	35.22	79.97	80.62	26.57	26.86	111.94	108.38	83.09	26.49	26.63	30.25	41.18	103.07	13.13	99.81	110.12	106.86	109.93	80.53	80.40	39.43	39.88	110.11	26.50	51.02	51.45	26.34	26.55	10.76	10.72	40.22	83.11	110.22	47.61	48.37	111.15	111.02	123.74	109.35	81.24	114.36	135.42	13.08	13.41	28.31	28.30	77.18	79.18	98.86	174.93	64.16	65.54	74.89	74.89	83.89	38.03	37.86	42.41	41.82	41.50	101.47	110.22	17.01	17.14	34.65	36.00	39.73	40.88	100.36	83.11	110.12	41.18	40.22	23.63	28.30	40.50	31.43	34.90	13.41	20.60	101.48	64.41	26.25	71.21	65.54	39.88	28.27	30.25	102.45	72.20	58.55	32.77	35.02	53.82	47.59	48.31	54.27	59.06	51.67	58.40	12.75	23.76	19.46	14.29	0.80	
A345FR21 November 13 2015 11_12.obj	76.97	83.45	17.96	28.21	31.16	24.88	24.95	37.17	38.88	44.97	46.19	24.89	24.95	41.55	40.51	49.23	47.90	37.36	36.52	88.21	19.65	18.20	35.49	28.62	27.97	26.47	81.97	11.42	36.07	36.50	145.18	85.66	131.79	31.05	65.49	73.21	23.24	23.18	100.58	99.02	70.85	23.01	22.80	28.62	37.44	81.94	13.39	85.40	91.43	87.95	90.17	65.77	65.81	35.76	36.11	91.43	27.00	44.15	45.44	24.35	24.87	10.78	10.67	34.14	64.40	94.11	40.06	39.52	95.21	94.70	102.52	89.49	66.07	93.51	120.82	10.99	9.19	23.50	23.63	63.59	64.40	69.24	155.08	51.61	52.86	60.41	60.41	78.73	34.10	34.43	35.47	34.71	39.33	71.69	94.11	15.96	15.61	31.58	28.83	36.84	36.37	85.66	64.40	91.43	37.44	34.14	18.17	23.63	42.03	28.21	31.16	9.19	16.60	76.04	55.37	26.78	62.17	52.86	36.11	24.95	28.62	85.49	56.87	47.90	26.47	28.03	35.48	36.16	35.89	40.96	49.01	42.51	48.87	10.66	22.48	13.77	12.18	0.59	
A348FA20 November 13 2015 12_17.obj	89.94	90.38	16.59	34.62	31.79	24.96	24.84	38.77	39.13	47.67	48.81	25.16	24.84	45.29	45.36	56.32	56.20	44.45	44.59	96.65	26.24	19.60	45.96	26.18	28.25	26.10	93.62	14.11	37.33	37.35	139.15	96.42	137.56	34.60	73.80	69.87	25.27	24.47	100.26	98.41	78.68	24.48	24.25	26.18	41.68	91.39	11.02	94.96	105.21	104.52	104.96	74.05	74.17	37.25	37.28	105.21	22.00	46.51	47.79	23.80	24.14	11.48	11.59	39.79	78.12	99.98	39.99	42.27	100.71	100.65	113.85	102.95	75.11	103.42	126.87	13.47	11.92	25.21	26.88	75.29	76.56	85.94	161.61	58.25	59.79	68.72	68.72	81.88	35.64	35.20	39.17	39.75	39.86	87.46	99.98	17.66	16.08	30.43	30.64	34.87	35.00	96.42	78.12	105.21	41.68	39.79	21.95	26.88	43.31	34.62	31.79	11.92	19.40	90.64	56.73	22.04	63.53	59.79	37.28	24.84	26.18	91.00	64.82	56.20	26.10	35.26	44.89	42.52	45.40	44.42	52.05	50.12	55.04	9.59	18.64	17.33	12.77	0.67	
A349FA21 November 13 2015 12_20.obj	94.76	106.53	18.93	33.95	31.39	24.66	24.73	41.04	40.27	50.38	50.37	24.68	24.73	42.98	47.14	61.09	59.50	48.70	47.23	92.76	26.97	19.48	46.96	31.01	28.74	28.12	85.37	14.08	37.04	37.42	144.36	90.60	157.44	34.31	87.60	79.33	24.42	25.09	116.18	111.58	81.30	24.80	25.15	31.01	40.40	96.93	13.89	90.63	106.82	102.64	106.47	88.04	88.00	38.82	38.83	106.81	28.00	49.67	49.85	23.63	23.85	13.63	13.21	61.48	73.38	118.61	40.64	42.73	119.99	119.39	111.81	106.16	88.62	105.20	142.17	13.71	11.57	25.40	23.01	79.93	81.18	88.70	179.86	61.54	60.81	82.52	82.52	79.62	36.58	35.96	46.80	46.09	41.06	92.33	118.61	17.04	17.52	30.75	29.47	38.55	40.78	90.60	73.38	106.82	40.40	61.48	25.74	23.01	37.01	33.95	31.39	11.57	19.30	92.40	67.63	27.78	74.43	60.81	38.83	24.73	31.01	108.62	77.61	59.50	28.12	35.94	46.57	45.69	46.06	48.55	53.96	49.53	57.26	12.08	25.00	15.12	13.02	0.78	
A350FL21 November 13 2015 12_26.obj	84.79	88.13	16.07	24.59	29.66	24.99	24.43	35.79	36.55	46.01	46.06	25.07	24.43	35.20	37.82	52.85	51.75	40.54	40.43	83.36	22.12	18.82	32.91	25.02	25.96	23.49	81.45	11.13	36.26	36.33	145.22	84.07	143.52	34.69	72.06	65.32	21.69	22.06	110.99	108.58	68.40	20.90	21.71	25.02	45.86	86.91	10.31	82.03	93.60	93.60	93.60	72.26	72.32	36.89	37.94	93.60	20.50	46.38	46.51	22.78	22.77	12.38	10.02	38.40	74.41	97.08	36.91	37.47	97.41	97.77	103.46	91.93	75.99	95.02	131.10	10.81	9.87	23.88	22.42	66.08	67.26	81.43	166.48	53.57	54.21	66.98	66.98	71.89	33.56	33.37	39.46	38.74	37.84	83.19	97.08	14.03	16.15	28.64	26.29	32.48	32.83	84.07	74.41	93.60	45.86	38.40	17.53	22.42	47.15	24.59	29.66	9.87	16.20	86.54	52.01	20.62	58.81	54.21	37.94	24.43	25.02	89.68	64.66	51.75	23.49	29.97	42.50	40.62	42.40	42.28	48.24	41.75	51.81	8.95	16.14	16.34	11.69	0.69	
A352FL21 November 13 2015 12_31.obj	75.39	90.68	18.65	25.50	29.84	25.76	25.74	36.89	37.27	45.58	45.85	25.80	25.74	37.15	40.37	53.60	51.77	42.02	42.49	84.24	23.58	18.49	37.68	27.64	24.73	23.22	80.43	13.72	35.29	36.41	143.68	83.09	142.96	30.52	72.03	70.95	22.50	22.70	104.75	101.76	63.44	22.29	22.21	27.64	39.56	83.23	12.28	82.83	93.76	91.98	93.34	72.31	72.27	35.46	36.66	93.76	24.50	44.81	45.68	22.74	23.03	14.09	13.86	36.59	62.75	99.67	36.10	37.92	101.11	100.57	103.34	92.56	73.00	95.90	126.64	11.00	10.83	25.94	26.15	69.18	70.59	69.66	164.85	53.31	53.60	66.95	66.95	69.26	34.12	34.36	38.12	38.72	38.29	71.45	99.67	16.31	17.16	26.49	26.81	34.64	36.31	83.09	62.75	93.76	39.56	36.59	19.11	26.15	42.91	25.50	29.84	10.83	16.80	78.29	57.24	24.56	64.04	53.60	36.66	25.74	27.64	90.51	62.87	51.77	23.22	31.47	37.13	34.26	35.10	40.14	50.15	43.66	50.03	8.99	21.06	16.28	11.73	0.90	
A353FL21 November 13 2015 12_34.obj	91.04	89.74	15.67	34.00	31.69	22.76	24.39	38.19	37.74	48.13	48.45	22.76	22.91	43.54	45.54	52.43	52.45	41.00	41.06	92.38	24.64	19.11	44.32	29.17	30.00	27.73	90.75	13.04	35.71	36.00	143.28	92.91	141.52	31.56	74.07	75.12	23.71	23.42	106.72	104.34	71.99	23.39	23.17	29.17	38.97	91.27	13.43	90.02	97.32	93.74	96.44	74.40	74.33	36.86	36.42	97.31	27.00	47.62	48.00	22.66	22.60	11.72	11.53	35.14	73.19	103.24	39.85	43.03	103.96	104.27	113.44	94.13	74.80	100.97	129.63	14.17	12.91	25.72	24.39	71.71	72.30	85.19	163.79	56.33	56.42	68.99	68.99	77.11	33.70	33.33	38.63	38.61	37.97	88.01	103.24	16.38	15.36	32.05	30.50	36.67	38.45	92.91	73.19	97.32	38.97	35.14	20.75	24.39	38.16	34.00	31.69	12.91	18.30	89.46	59.78	26.85	66.58	56.42	36.42	22.91	29.17	94.14	64.97	52.45	27.73	32.22	44.80	43.15	45.26	45.69	50.78	44.34	52.93	13.50	20.99	17.85	13.80	1.03	
A354FR21 November 17 2015 02_24.obj	83.49	95.54	17.92	33.40	32.20	23.66	23.45	37.42	36.66	45.79	46.21	23.69	23.45	39.88	38.48	57.04	57.67	44.54	46.00	93.25	23.09	18.45	40.57	27.55	26.39	24.28	86.82	12.56	34.02	33.75	144.96	90.72	148.04	35.27	77.62	72.20	23.10	22.24	108.63	107.72	69.70	23.49	23.16	27.55	41.65	88.89	12.67	90.23	97.42	96.50	97.03	78.44	78.32	37.53	36.79	97.42	25.50	45.98	46.41	22.50	22.74	12.14	12.14	39.03	70.91	105.17	39.97	38.48	105.87	106.17	108.39	96.24	78.32	100.56	133.16	11.33	12.42	25.44	25.81	73.77	76.33	78.40	171.21	54.23	54.59	72.54	72.54	81.81	33.70	33.33	39.21	37.70	39.67	80.60	105.17	17.04	16.32	28.55	27.69	35.95	36.24	90.72	70.91	97.42	41.65	39.03	20.03	25.81	45.08	33.40	32.20	12.42	15.60	84.48	59.64	25.35	66.44	54.59	36.79	23.45	27.55	95.66	68.11	57.67	24.28	32.27	42.49	38.07	42.78	40.60	49.52	44.29	53.08	9.63	19.70	15.42	12.08	1.00	
A357FR22 November 17 2015 02_29.obj	86.02	90.97	16.01	21.50	30.59	25.81	25.71	36.55	37.18	45.25	45.63	25.86	25.71	40.78	49.78	55.64	54.86	42.94	42.45	83.83	24.43	18.86	36.36	31.95	30.74	26.46	82.84	11.13	36.58	36.52	139.59	85.01	144.69	35.94	74.96	77.07	24.56	23.49	108.30	105.56	69.74	23.65	23.23	31.95	35.69	86.18	15.73	81.87	98.61	90.93	96.46	75.59	75.62	35.15	37.80	98.61	31.50	44.25	44.55	24.35	24.39	10.19	10.19	40.92	69.83	106.91	40.74	42.45	107.73	108.12	108.57	93.58	75.12	97.08	130.30	11.06	11.14	26.57	26.35	70.02	71.63	82.05	167.21	55.18	55.60	69.88	69.88	75.36	34.57	34.07	40.16	39.94	43.68	83.58	106.91	17.84	16.70	29.96	28.52	38.16	38.91	85.01	69.83	98.61	35.69	40.92	20.27	26.35	38.36	21.50	30.59	11.14	21.00	81.14	63.89	31.45	70.69	55.60	37.80	25.71	31.95	99.48	67.53	54.86	26.46	32.07	42.26	41.23	40.36	45.56	48.88	46.25	52.30	15.94	23.70	17.99	13.85	1.21	
A358FR22 November 13 2015 12_45.obj	94.23	94.33	17.84	32.36	34.80	26.58	24.18	36.63	37.48	47.09	48.91	24.93	24.18	45.36	45.66	53.15	53.39	41.66	41.98	99.20	24.51	18.58	42.09	28.45	30.11	28.57	94.65	14.65	37.54	37.89	140.93	99.91	144.67	33.94	76.49	74.72	25.00	25.64	107.66	104.03	81.65	24.43	25.48	28.45	38.23	95.53	11.55	96.49	102.43	101.35	102.41	76.60	76.64	38.99	40.74	102.43	23.00	48.70	51.88	23.86	24.02	11.74	11.74	37.68	82.26	104.94	42.33	44.55	105.64	105.26	118.46	101.58	78.18	106.68	129.43	13.99	12.38	29.27	29.36	71.11	73.32	90.07	166.20	57.53	61.13	71.41	71.41	84.64	35.32	35.23	42.43	40.38	40.76	91.78	104.94	16.86	17.42	32.75	32.93	37.35	37.37	99.91	82.26	102.43	38.23	37.68	20.62	29.36	42.63	32.36	34.80	12.38	19.40	93.93	56.36	23.09	63.16	61.13	40.74	24.18	28.45	95.71	67.26	53.39	28.57	32.95	46.67	45.06	46.54	47.57	53.31	50.33	52.05	10.61	20.70	17.79	13.24	0.32	
A359FR22 November 13 2015 12_51.obj	89.03	79.53	10.14	29.06	29.89	26.65	25.96	36.68	35.33	45.71	44.10	26.56	25.96	39.32	40.91	50.35	53.27	39.18	41.46	85.75	20.76	17.72	36.26	27.34	26.53	25.49	85.06	12.61	36.26	37.53	131.34	87.49	134.97	38.44	69.39	70.39	24.17	22.40	101.58	98.71	68.48	24.18	23.17	27.34	35.39	83.38	11.09	83.83	91.34	91.17	91.34	69.66	69.58	36.54	37.18	91.34	22.00	45.69	45.39	25.11	24.74	9.53	9.53	46.45	67.65	96.72	37.99	40.36	97.44	97.20	102.76	90.84	71.02	92.95	121.96	10.55	9.10	25.36	25.32	65.13	67.99	75.15	158.65	52.26	51.56	64.31	64.31	76.23	34.29	34.27	37.66	37.66	35.81	76.94	96.72	16.24	16.59	27.49	27.19	34.50	35.89	87.49	67.65	91.34	35.39	46.45	16.41	25.32	39.51	29.06	29.89	9.10	17.20	81.56	53.37	22.18	60.17	51.56	37.18	25.96	27.34	89.67	62.34	53.27	25.49	30.67	39.45	37.42	40.08	48.86	49.50	40.41	50.88	17.19	19.48	17.17	12.48	0.48	
